 _dewptm, _heatindexm, _hum, _pressurem, _tempm, _wdird, _rain
2,,39,1016,16,260,0
3,,48,1016,14,0,0
4,,58,1017,12,0,0
3,,54,1017,12,0,0
3,,62,1017,10,0,0
4,,71,1017,9,0,0
3,,76,1017,7,0,0
3,,76,-9999,7,0,0
4,,81,1016,7,0,0
4,,81,1017,7,0,0
4,,81,1017,7,0,0
3,,71,1017,8,240,0
2,,62,1018,9,230,0
2,,51,1018,12,240,0
3,,45,1018,15,250,0
3,,37,-9999,18,280,0
2,,32,1016,19,290,0
2,,30,1015,20,260,0
2,,28,1014,21,260,0
2,,28,1014,21,260,0
3,,35,1014,19,260,0
4,,45,1014,16,0,0
4,,51,1014,14,0,0
4,,54,1014,13,0,0
4,,66,1015,10,0,0
3,,62,1015,10,0,0
2,,66,1014,8,0,0
3,,71,1014,8,220,0
2,,71,1014,7,220,0
1,,66,1014,7,230,0
-1,,57,1014,7,240,0
0,,66,1014,6,240,0
1,,76,1014,5,220,0
1,,70,1015,6,230,0
1,,58,1016,9,230,0
2,,47,-9999,13,270,0
2,,39,1016,16,260,0
0,,25,1013,21,260,0
1,,27,1012,21,0,0
3,,35,1012,19,270,0
3,,42,1012,16,260,0
3,,45,1013,15,260,0
3,,48,1014,14,230,0
3,,54,1014,12,0,0
3,,54,1014,12,0,0
2,,51,1014,12,0,0
2,,51,1014,12,220,0
2,,58,-9999,10,0,0
2,,62,1014,9,0,0
2,,66,1014,8,0,0
2,,66,1015,8,0,0
0,,61,1015,7,0,0
0,,50,1016,10,0,0
0,,44,1017,12,230,0
1,,34,1017,17,220,0
2,,30,1017,20,220,0
-1,,23,1016,21,0,0
-2,,20,1015,22,240,0
-1,,20,1015,23,290,0
0,,23,1014,22,0,0
1,,27,1014,21,0,0
4,,48,1015,15,0,0
4,,48,1016,15,0,0
3,,51,1017,13,0,0
2,,44,1017,14,0,0
2,,47,1017,13,0,0
1,,44,1018,13,60,0
2,,54,1018,11,70,0
1,,47,1017,12,90,0
0,,44,1018,12,60,0
2,,54,-9999,11,80,0
4,,66,1018,10,80,0
4,,76,1018,8,0,0
5,,81,1018,8,0,0
5,,76,1019,9,0,0
4,,62,1020,11,0,0
5,,45,1020,17,0,0
4,,33,1021,21,0,0
5,,35,1020,21,220,0
3,,27,1019,23,0,0
2,,25,1019,23,290,0
2,,25,1018,23,0,0
-1,,20,1017,23,280,0
2,,28,1017,21,280,0
7,,52,1019,17,0,0
7,,63,1019,14,0,0
0,,41,1019,13,0,0
6,,67,1019,12,0,0
6,,67,1019,12,0,0
5,,76,1019,9,0,0
5,,76,1018,9,0,0
6,,82,1018,9,0,0
5,,81,1018,8,0,0
5,,76,1018,9,0,0
